,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_nmae,split1_test_nmae,split2_test_nmae,split3_test_nmae,split4_test_nmae,mean_test_nmae,std_test_nmae,rank_test_nmae,split0_train_nmae,split1_train_nmae,split2_train_nmae,split3_train_nmae,split4_train_nmae,mean_train_nmae,std_train_nmae,split0_test_nmse,split1_test_nmse,split2_test_nmse,split3_test_nmse,split4_test_nmse,mean_test_nmse,std_test_nmse,rank_test_nmse,split0_train_nmse,split1_train_nmse,split2_train_nmse,split3_train_nmse,split4_train_nmse,mean_train_nmse,std_train_nmse,split0_test_nrmse,split1_test_nrmse,split2_test_nrmse,split3_test_nrmse,split4_test_nrmse,mean_test_nrmse,std_test_nrmse,rank_test_nrmse,split0_train_nrmse,split1_train_nrmse,split2_train_nrmse,split3_train_nrmse,split4_train_nrmse,mean_train_nrmse,std_train_nrmse,param_bridge__alpha_1,param_bridge__alpha_2,param_bridge__lambda_1,param_bridge__lambda_2
lr_0_EOS,0.04922962188720703,0.004208492256925726,0.00571131706237793,0.0006801900299644197,{},-0.045166633280830884,-0.04448344526398406,-0.04452126342688708,-0.04400045435450492,-0.04505629448654424,-0.044645618162550235,0.00042381889648503574,1,-0.04455016792140929,-0.0446572455830185,-0.044637984536826304,-0.044744252010950045,-0.04452441786118564,-0.04462281358267795,7.8895021981837e-05,-0.0034833880550557434,-0.0034445232953550994,-0.003416679234628888,-0.003294790449554584,-0.0034663161614418847,-0.0034211394392072393,6.700237569876511e-05,1,-0.003401877791182771,-0.003410959184223947,-0.00341808988113473,-0.003448237045642626,-0.003405429939321698,-0.0034169187683011546,1.6588832552500625e-05,-0.05902023428499537,-0.05869006129963658,-0.0584523672286152,-0.057400265239409685,-0.058875429182655516,-0.058487671447062475,0.000575958251710373,1,-0.05832561865237926,-0.05840341757315189,-0.05846443261620461,-0.05872169144057948,-0.05835606171874262,-0.058454244400211575,0.0001417035690739548,,,,
lr_0_MONO,0.07218523025512695,0.01031287035178069,0.008311748504638672,0.0006710829372660406,{},-0.04811873126838277,-0.047784888601645606,-0.04776924248579199,-0.04799251986611671,-0.04824294432638718,-0.047981665309664856,0.00018494115384923139,1,-0.04806840895418976,-0.04794360892372832,-0.04779230948628164,-0.048018592173917476,-0.04785686840456075,-0.04793595758853559,0.00010131165599089861,-0.004106630972784401,-0.004110378195300146,-0.004129623086941331,-0.004074941845499745,-0.004037180405937728,-0.004091750901292671,3.2444347351672744e-05,1,-0.00408247523511242,-0.004081245157513252,-0.004076913747036545,-0.004090200179700965,-0.004099711751477309,-0.004086109214168099,8.03973241999634e-06,-0.06408300065371783,-0.06411223124568467,-0.06426214349787385,-0.063835271171193,-0.06353881023388562,-0.06396629136047101,0.0002539111655746298,1,-0.06389425040731302,-0.06388462379566191,-0.06385071453818308,-0.06395467285273973,-0.06402899149195862,-0.06392265061717127,6.28668684692226e-05,,,,
lr_0_NEUT,0.05487580299377441,0.000700613420823817,0.006148052215576172,0.0006324307677466111,{},-0.048284957800239184,-0.04891189451219449,-0.048884394509131276,-0.04886461589371729,-0.050017180954001865,-0.04899260873385682,0.0005630497934075366,1,-0.04922521563947072,-0.04891165412566502,-0.048698897361530276,-0.04914803205092763,-0.04882094569360943,-0.048960948974240616,0.00019775686908029064,-0.0043835734348655776,-0.004418143873066013,-0.004435672382030749,-0.004304800921546546,-0.004344317806680738,-0.004377301683637924,4.787244379507905e-05,1,-0.004371286006486838,-0.0043628030856107,-0.004358733121781029,-0.0043912124802674675,-0.004381466768728017,-0.00437310029257481,1.1948129293949145e-05,-0.06620856013285274,-0.06646911969528416,-0.06660084370359544,-0.06561098171454643,-0.06591143911856832,-0.06616018887296941,0.00036206619690063867,1,-0.06611570166372613,-0.06605151842017487,-0.06602070222120504,-0.06626622427954884,-0.06619264890248779,-0.06612935909742854,9.032130510854562e-05,,,,
lr_0_RBC,0.0579742431640625,0.010855624635001504,0.0063534736633300785,0.0013166271601425038,{},-0.03992171691304111,-0.03389839240168512,-0.03465751528178373,-0.034244067485895695,-0.03384522925217889,-0.035313384266916915,0.0023224131160127304,1,-0.03362370609251734,-0.03516868683061285,-0.03502063776043376,-0.03505300772360268,-0.035431529496509954,-0.034859513580735316,0.0006345725236539058,-0.003282394317765095,-0.002437306440810129,-0.0025489081813482666,-0.0024966730658202,-0.002413012052961673,-0.0026356588117410727,0.00032681027108821955,1,-0.00241728691630758,-0.0026082756464421196,-0.002580331337948564,-0.002595409519025893,-0.002628467809359481,-0.0025659542458167277,7.599386204040977e-05,-0.05729218374058625,-0.049369083856297444,-0.05048671291882911,-0.04996671958234,-0.04912241904631401,-0.05124742382887336,0.003059470974677705,1,-0.04916591213745129,-0.05107128005486175,-0.050796961896835566,-0.05094516188045625,-0.05126858501421198,-0.05064958019676337,0.0007578071709635022,,,,
lr_0_WBC,0.05458788871765137,0.011411118371069067,0.00660858154296875,0.0011908602693321225,{},-0.04838679852367917,-0.04898292508307219,-0.049009219631932145,-0.04878974417593743,-0.049980701206576085,-0.049029877724239404,0.0005249593472006172,1,-0.049261062187186226,-0.04895238472675767,-0.04874333276904706,-0.04919959649496679,-0.048853905143633,-0.04900205626431815,0.00019872597918472472,-0.004387363092330239,-0.004424091626666307,-0.004437220683703846,-0.004309290486705158,-0.004346965066531037,-0.004380986191187318,4.7662925946027845e-05,1,-0.004375293589421275,-0.0043662622624911105,-0.004363289070292978,-0.004394946240256359,-0.004385749463871049,-0.004377108125266554,1.1872342981124737e-05,-0.06623717303999499,-0.06651384537572841,-0.06661246642861864,-0.06564518631784937,-0.0659315180056628,-0.06618803783357083,0.0003603316931834941,1,-0.06614600206680125,-0.06607769867732313,-0.06605519714824094,-0.0662943907148739,-0.06622499123345392,-0.06615965596813864,8.970754758168583e-05,,,,
lr_0_MCHC,0.07887840270996094,0.009465684498481987,0.009133434295654297,0.001401367682820741,{},-0.6437363198052647,-0.5710802804955555,-0.5771379464754696,-0.5779896922481877,-0.5538513427001388,-0.5847591163449233,0.03073961249805932,1,-0.5647734129547387,-0.5838690844029668,-0.5820746401924816,-0.583277694846308,-0.5889148225213754,-0.580581930983574,0.00824192968712277,-0.8099764644562648,-0.5995365277506057,-0.62880248071883,-0.6271817358423883,-0.579747870466134,-0.6490490158468447,0.08251045880854062,1,-0.5990436347552821,-0.6478349402768829,-0.6403826538232539,-0.6419053757003668,-0.6543574453891067,-0.6367048099889785,0.019465003857007362,-0.8999869246029438,-0.7742974413948465,-0.792970668258814,-0.7919480638541825,-0.7614117614445773,-0.8041229719110727,0.049348372736581346,1,-0.7739790919367797,-0.8048819418255593,-0.8002391229021822,-0.8011899747877321,-0.8089236338425937,-0.7978427530589693,0.012318741017768397,,,,
lr_0_MCV,0.05142030715942383,0.004930967004552986,0.005853414535522461,0.0004076412789140804,{},-0.18729401197306336,-0.16254139943858661,-0.16460570197272076,-0.16218574877612346,-0.15629774689113368,-0.16658492181032555,0.010717392321900198,1,-0.1597713385502683,-0.16614126158025563,-0.16570330599133742,-0.16661638228315231,-0.16809326677866762,-0.16526511103673627,0.0028623622974120453,-0.07129784649953201,-0.05000874417589488,-0.052482104095738745,-0.04987451808667502,-0.04669575566727503,-0.054071793705023144,0.008806763754750202,1,-0.04889403281021384,-0.05386480195407739,-0.05323288885533316,-0.0539661637510887,-0.05486257334148174,-0.05296409214243897,0.0021003471702296292,-0.26701656596460827,-0.22362634946690627,-0.22908972935454514,-0.22332603539819315,-0.2160920074118315,-0.23183013751921688,0.01807155341535792,1,-0.2211199511808327,-0.23208791858706776,-0.23072253651373797,-0.2323061853483215,-0.2342276101177693,-0.23009284034954586,0.004623522717298175,,,,
lr_0_LY,0.053901958465576175,0.008971737689176985,0.006845808029174805,0.0013076803526337992,{},-0.0476926754604633,-0.048624271078277034,-0.04900082834179888,-0.0490653855519988,-0.049609409385652545,-0.048798513963638115,0.0006360726870305865,1,-0.049004635852754594,-0.04874622602096112,-0.0485418718250133,-0.04890427227764515,-0.04862720522684259,-0.04876484224064335,0.0001708496585171678,-0.004326116717707959,-0.004343031527311459,-0.004370676973218459,-0.004254315991997575,-0.00426855920191027,-0.004312540082429145,4.431323473851353e-05,1,-0.004304761286613821,-0.004300638257998736,-0.004293833061956555,-0.004323180793546262,-0.004319503439372504,-0.004308383367897575,1.1202119429683428e-05,-0.06577322188936739,-0.06590168076241651,-0.06611109568913874,-0.06522511779979838,-0.06533421157334242,-0.06566906554281268,0.0003375102412009105,1,-0.06561067966889096,-0.06557925173405638,-0.0655273459096014,-0.06575089956454028,-0.06572292932738547,-0.06563822124089488,8.532425745483729e-05,,,,
lr_0_HCT,0.0509284496307373,0.005278252527254534,0.0062291622161865234,0.0007109811686148799,{},-0.002956837972594367,-0.002876322527647056,-0.0029198153768003644,-0.002889094957447834,-0.002921804100827231,-0.0029127749870633706,2.8150183931921455e-05,1,-0.002887758123050468,-0.0029056926724449835,-0.002896113312137912,-0.0029028890595800176,-0.0028975921999939854,-0.0028980090734414734,6.191956664403888e-06,-1.3155486200651468e-05,-1.2260627533434162e-05,-1.2503635658743672e-05,-1.2387138049888229e-05,-1.2765173256372327e-05,-1.2614412139817972e-05,3.176723286653436e-07,1,-1.2343975242077535e-05,-1.2526034201516575e-05,-1.2472572065324292e-05,-1.2503315381424258e-05,-1.2433325623916336e-05,-1.2455844502851801e-05,6.400268880610367e-08,-0.0036270492415531757,-0.0035015178899206216,-0.003536048028342329,-0.0035195366243140915,-0.0035728382633940102,-0.0035513980095048456,4.454568332613575e-05,1,-0.0035133993855065116,-0.0035392137829631846,-0.003531652880072487,-0.0035360027405849474,-0.0035260921178999756,-0.003529272181405421,9.075924725259711e-06,,,,
lr_0_RDW,0.04853515625,0.005124867552496697,0.005840158462524414,0.0004906210540999977,{},-1.2379499315955336,-1.1151548756140357,-1.0729885742411327,-1.184544825610907,-1.0192387649193462,-1.125975394396191,0.07782810554389595,1,-1.0785678717708755,-1.117310227708159,-1.128538433593302,-1.102090663118156,-1.1566783279850033,-1.1166371048350991,0.02610080360707723,-2.550908848578399,-2.09633902707112,-1.9582324411264822,-2.3160690117809866,-1.6715273988297805,-2.118615345477354,0.30065666983036304,1,-1.9819733627345286,-2.086751484695475,-2.1212578123451538,-2.0332319540645845,-2.2013162095106704,-2.084906164670082,0.07502203914914823,-1.597156488443884,-1.4478739679513268,-1.3993685865869943,-1.5218636639926018,-1.29287563161728,-1.4518276677184174,0.10397965534013967,1,-1.4078257572350807,-1.4445592700527987,-1.4564538483402603,-1.4259144273288578,-1.4836833252115056,-1.4436873256337006,0.025943601806526606,,,,
