,fit_time,score_time,test_nmae,train_nmae,test_nmse,train_nmse,test_nrmse,train_nrmse,test_rmsle,train_rmsle,test_norm_rmse,train_norm_rmse
EOS_lr_0,1.4122068881988525,0.049863338470458984,-0.042887560911697126,-0.04283020909855611,-0.0033284253125794084,-0.0032790335018494468,-0.05769250655483265,-0.05726284573656331,0.050308899899758244,0.050252797994065845,0.1153850131096653,0.11452569147312662
EOS_lr_1,1.4870281219482422,0.032921791076660156,-0.04267755904717408,-0.04277965673376474,-0.0033522058983575715,-0.00327040014430668,-0.05789823743740021,-0.05718741246381655,0.05062794803383271,0.05019205587491357,0.11579647487480042,0.1143748249276331
EOS_lr_2,1.371333122253418,0.06482625007629395,-0.04281279252379137,-0.04274910121602489,-0.0032475460718134294,-0.003296306007430899,-0.05698724481683098,-0.057413465384271126,0.05013626744420377,0.05032269062733923,0.11397448963366195,0.11482693076854225
EOS_lr_3,1.4461331367492676,0.0608363151550293,-0.04301054770263119,-0.04269594997206213,-0.0033184651334176463,-0.0032784919154417807,-0.057606120624614586,-0.05725811659006765,0.050311698974137786,0.05028966920367816,0.11521224124922917,0.1145162331801353
EOS_lr_4,1.4980006217956543,0.04387712478637695,-0.04262027214847341,-0.04276198736259878,-0.003210663821011828,-0.0033041564411756563,-0.05666271985187287,-0.057481792257858974,0.05019538478117187,0.05031312331799891,0.11332543970374574,0.11496358451571795
HCT_lr_0,1.0416526794433594,0.029917478561401367,-0.0029494375058303213,-0.0028864449585695624,-1.3056742565061993e-05,-1.2309847329853875e-05,-0.0036134114857101444,-0.0035085392016983184,0.0026935420490659,0.0025701118280325023,0.009313028925310801,0.008727232574659773
HCT_lr_1,1.0443072319030762,0.03092026710510254,-0.0028766999779554687,-0.002903033859322138,-1.2266642127618885e-05,-1.2476527077160516e-05,-0.0035023766398859625,-0.003532212773483573,0.0025658544944049365,0.002593977479338265,0.00906465812581672,0.008783495123767323
HCT_lr_2,1.0875270366668701,0.019672155380249023,-0.0029125120497922397,-0.002894165948435182,-1.2491212906892663e-05,-1.2420962637485224e-05,-0.0035342910048399615,-0.0035243386099359443,0.002592310639290056,0.0025874139507821164,0.00878850903123784,0.008851389438877571
HCT_lr_3,1.0814104080200195,0.04089069366455078,-0.0029123747536952977,-0.002896448114626076,-1.2523114015773951e-05,-1.2429394171535826e-05,-0.0035388012116780382,-0.0035255345937227484,0.0025535663071203567,0.0025943894199229357,0.009090170146460089,0.008770251707870531
HCT_lr_4,1.0425269603729248,0.03889870643615723,-0.0028778736504622596,-0.002903219290731379,-1.2277365599696672e-05,-1.2482993667724422e-05,-0.003503907190508429,-0.0035331280287762604,0.0025851571726991014,0.002592631252987208,0.009065785438127595,0.008777763993675589
